	X	Y	Value
132	2	32	9.80
133	2	33	10.10
134	2	34	10.40
135	2	35	10.70
136	2	36	11.00
137	2	37	11.30
138	2	38	11.60
139	2	39	11.90
140	2	40	12.20
141	2	41	12.50
142	2	42	12.80
143	2	43	13.10
144	2	44	13.40
145	2	45	13.70
146	2	46	14.00
147	2	47	14.30
148	2	48	14.60
149	2	49	14.90
150	2	50	15.20
151	2	51	15.50
152	2	52	15.80
153	2	53	16.10
154	2	54	16.40
155	2	55	16.70
156	2	56	17.00
157	2	57	17.30
158	2	58	17.60
159	2	59	17.90
160	2	60	18.20
161	2	61	18.50
162	2	62	18.80
163	2	63	19.10
164	2	64	19.40
165	2	65	19.70
166	2	66	20.00
167	2	67	20.30
168	2	68	20.60
169	2	69	20.90
170	2	70	21.20
171	2	71	21.50
172	2	72	21.80
173	2	73	22.10
174	2	74	22.40
175	2	75	22.70
176	2	76	23.00
177	2	77	23.30
178	2	78	23.60
179	2	79	23.90
180	2	80	24.20
181	2	81	24.50
182	2	82	24.80
183	2	83	25.10
184	2	84	25.40
185	2	85	25.70
186	2	86	26.00
187	2	87	26.30
188	2	88	26.60
189	2	89	26.90
190	2	90	27.20
191	2	91	27.50
192	2	92	27.80
193	2	93	28.10
194	2	94	28.40
195	2	95	28.70
196	2	96	29.00
197	2	97	29.30
198	2	98	29.60
199	2	99	29.90
200	2	0	0.20
201	3	1	0.60
202	3	2	0.90
203	3	3	1.20
204	3	4	1.50
205	3	5	1.80
206	3	6	2.10
207	3	7	2.40
208	3	8	2.70
209	3	9	3.00
210	3	10	3.30
211	3	11	3.60
212	3	12	3.90
213	3	13	4.20
214	3	14	4.50
215	3	15	4.80
216	3	16	5.10
217	3	17	5.40
218	3	18	5.70
219	3	19	6.00
220	3	20	6.30
221	3	21	6.60
222	3	22	6.90
223	3	23	7.20
224	3	24	7.50
225	3	25	7.80
226	3	26	8.10
227	3	27	8.40
228	3	28	8.70
229	3	29	9.00
230	3	30	9.30
231	3	31	9.60
232	3	32	9.90
233	3	33	10.20
234	3	34	10.50
235	3	35	10.80
236	3	36	11.10
237	3	37	11.40
238	3	38	11.70
239	3	39	12.00
240	3	40	12.30
241	3	41	12.60
242	3	42	12.90
243	3	43	13.20
244	3	44	13.50
245	3	45	13.80
246	3	46	14.10
247	3	47	14.40
248	3	48	14.70
249	3	49	15.00
250	3	50	15.30
251	3	51	15.60
252	3	52	15.90
253	3	53	16.20
254	3	54	16.50
255	3	55	16.80
256	3	56	17.10
257	3	57	17.40
258	3	58	17.70
259	3	59	18.00
260	3	60	18.30
261	3	61	18.60
262	3	62	18.90
263	3	63	19.20
264	3	64	19.50
265	3	65	19.80
266	3	66	20.10
267	3	67	20.40
268	3	68	20.70
269	3	69	21.00
270	3	70	21.30
271	3	71	21.60
272	3	72	21.90
273	3	73	22.20
274	3	74	22.50
275	3	75	22.80
276	3	76	23.10
277	3	77	23.40
278	3	78	23.70
279	3	79	24.00
280	3	80	24.30
281	3	81	24.60
282	3	82	24.90
283	3	83	25.20
284	3	84	25.50
285	3	85	25.80
286	3	86	26.10
287	3	87	26.40
288	3	88	26.70
289	3	89	27.00
290	3	90	27.30
291	3	91	27.60
292	3	92	27.90
293	3	93	28.20
294	3	94	28.50
295	3	95	28.80
296	3	96	29.10
297	3	97	29.40
298	3	98	29.70
299	3	99	30.00
300	3	0	0.30
301	4	1	0.70
302	4	2	1.00
303	4	3	1.30
304	4	4	1.60
305	4	5	1.90
306	4	6	2.20
307	4	7	2.50
308	4	8	2.80
309	4	9	3.10
310	4	10	3.40
311	4	11	3.70
312	4	12	4.00
313	4	13	4.30
314	4	14	4.60
315	4	15	4.90
316	4	16	5.20
317	4	17	5.50
318	4	18	5.80
319	4	19	6.10
320	4	20	6.40
321	4	21	6.70
322	4	22	7.00
323	4	23	7.30
324	4	24	7.60
325	4	25	7.90
326	4	26	8.20
327	4	27	8.50
328	4	28	8.80
329	4	29	9.10
330	4	30	9.40
331	4	31	9.70
332	4	32	10.00
333	4	33	10.30
334	4	34	10.60
335	4	35	10.90
336	4	36	11.20
337	4	37	11.50
338	4	38	11.80
339	4	39	12.10
340	4	40	12.40
341	4	41	12.70
342	4	42	13.00
343	4	43	13.30
344	4	44	13.60
345	4	45	13.90
346	4	46	14.20
347	4	47	14.50
348	4	48	14.80
349	4	49	15.10
350	4	50	15.40
351	4	51	15.70
352	4	52	16.00
353	4	53	16.30
354	4	54	16.60
355	4	55	16.90
356	4	56	17.20
357	4	57	17.50
358	4	58	17.80
359	4	59	18.10
360	4	60	18.40
361	4	61	18.70
362	4	62	19.00
363	4	63	19.30
364	4	64	19.60
365	4	65	19.90
366	4	66	20.20
367	4	67	20.50
368	4	68	20.80
369	4	69	21.10
370	4	70	21.40
371	4	71	21.70
372	4	72	22.00
373	4	73	22.30
374	4	74	22.60
375	4	75	22.90
376	4	76	23.20
377	4	77	23.50
378	4	78	23.80
379	4	79	24.10
380	4	80	24.40
381	4	81	24.70
382	4	82	25.00
383	4	83	25.30
384	4	84	25.60
385	4	85	25.90
386	4	86	26.20
387	4	87	26.50
388	4	88	26.80
389	4	89	27.10
390	4	90	27.40
391	4	91	27.70
392	4	92	28.00
393	4	93	28.30
394	4	94	28.60
395	4	95	28.90
396	4	96	29.20
397	4	97	29.50
398	4	98	29.80
399	4	99	30.10
400	4	0	0.40
401	5	1	0.80
402	5	2	1.10
403	5	3	1.40
404	5	4	1.70
405	5	5	2.00
406	5	6	2.30
407	5	7	2.60
408	5	8	2.90
409	5	9	3.20
410	5	10	3.50
411	5	11	3.80
412	5	12	4.10
413	5	13	4.40
414	5	14	4.70
415	5	15	5.00
416	5	16	5.30
417	5	17	5.60
418	5	18	5.90
419	5	19	6.20
420	5	20	6.50
421	5	21	6.80
422	5	22	7.10
423	5	23	7.40
424	5	24	7.70
425	5	25	8.00
426	5	26	8.30
427	5	27	8.60
428	5	28	8.90
429	5	29	9.20
430	5	30	9.50
431	5	31	9.80
432	5	32	10.10
433	5	33	10.40
434	5	34	10.70
435	5	35	11.00
436	5	36	11.30
437	5	37	11.60
438	5	38	11.90
439	5	39	12.20
440	5	40	12.50
441	5	41	12.80
442	5	42	13.10
443	5	43	13.40
444	5	44	13.70
445	5	45	14.00
446	5	46	14.30
447	5	47	14.60
448	5	48	14.90
449	5	49	15.20
450	5	50	15.50
451	5	51	15.80
452	5	52	16.10
453	5	53	16.40
454	5	54	16.70
455	5	55	17.00
456	5	56	17.30
457	5	57	17.60
458	5	58	17.90
459	5	59	18.20
460	5	60	18.50
461	5	61	18.80
462	5	62	19.10
463	5	63	19.40
464	5	64	19.70
465	5	65	20.00
466	5	66	20.30
467	5	67	20.60
468	5	68	20.90
469	5	69	21.20
470	5	70	21.50
471	5	71	21.80
472	5	72	22.10
473	5	73	22.40
474	5	74	22.70
475	5	75	23.00
476	5	76	23.30
477	5	77	23.60
478	5	78	23.90
479	5	79	24.20
480	5	80	24.50
481	5	81	24.80
482	5	82	25.10
483	5	83	25.40
484	5	84	25.70
485	5	85	26.00
486	5	86	26.30
487	5	87	26.60
488	5	88	26.90
489	5	89	27.20
490	5	90	27.50
491	5	91	27.80
492	5	92	28.10
493	5	93	28.40
494	5	94	28.70
495	5	95	29.00
496	5	96	29.30
497	5	97	29.60
498	5	98	29.90
499	5	99	30.20
500	5	0	0.50
501	6	1	0.90
502	6	2	1.20
503	6	3	1.50
504	6	4	1.80
505	6	5	2.10
506	6	6	2.40
507	6	7	2.70
508	6	8	3.00
509	6	9	3.30
510	6	10	3.60
511	6	11	3.90
512	6	12	4.20
513	6	13	4.50
514	6	14	4.80
515	6	15	5.10
516	6	16	5.40
517	6	17	5.70
518	6	18	6.00
519	6	19	6.30
520	6	20	6.60
521	6	21	6.90
522	6	22	7.20
523	6	23	7.50
524	6	24	7.80
525	6	25	8.10
526	6	26	8.40
527	6	27	8.70
528	6	28	9.00
529	6	29	9.30
530	6	30	9.60
531	6	31	9.90
532	6	32	10.20
533	6	33	10.50
534	6	34	10.80
535	6	35	11.10
536	6	36	11.40
537	6	37	11.70
538	6	38	12.00
539	6	39	12.30
540	6	40	12.60
541	6	41	12.90
542	6	42	13.20
543	6	43	13.50
544	6	44	13.80
545	6	45	14.10
546	6	46	14.40
547	6	47	14.70
548	6	48	15.00
549	6	49	15.30
550	6	50	15.60
551	6	51	15.90
552	6	52	16.20
553	6	53	16.50
554	6	54	16.80
555	6	55	17.10
556	6	56	17.40
557	6	57	17.70
558	6	58	18.00
559	6	59	18.30
560	6	60	18.60
561	6	61	18.90
562	6	62	19.20
563	6	63	19.50
564	6	64	19.80
565	6	65	20.10
566	6	66	20.40
567	6	67	20.70
568	6	68	21.00
569	6	69	21.30
570	6	70	21.60
571	6	71	21.90
572	6	72	22.20
573	6	73	22.50
574	6	74	22.80
575	6	75	23.10
576	6	76	23.40
577	6	77	23.70
578	6	78	24.00
579	6	79	24.30
580	6	80	24.60
581	6	81	24.90
582	6	82	25.20
583	6	83	25.50
584	6	84	25.80
585	6	85	26.10
586	6	86	26.40
587	6	87	26.70
588	6	88	27.00
589	6	89	27.30
590	6	90	27.60
591	6	91	27.90
592	6	92	28.20
593	6	93	28.50
594	6	94	28.80
595	6	95	29.10
596	6	96	29.40
597	6	97	29.70
598	6	98	30.00
599	6	99	30.30
600	6	0	0.60
601	7	1	1.00
602	7	2	1.30
603	7	3	1.60
604	7	4	1.90
605	7	5	2.20
606	7	6	2.50
607	7	7	2.80
608	7	8	3.10
609	7	9	3.40
610	7	10	3.70
611	7	11	4.00
612	7	12	4.30
613	7	13	4.60
614	7	14	4.90
615	7	15	5.20
616	7	16	5.50
617	7	17	5.80
618	7	18	6.10
619	7	19	6.40
620	7	20	6.70
621	7	21	7.00
622	7	22	7.30
623	7	23	7.60
624	7	24	7.90
625	7	25	8.20
626	7	26	8.50
627	7	27	8.80
628	7	28	9.10
629	7	29	9.40
630	7	30	9.70
631	7	31	10.00
632	7	32	10.30
633	7	33	10.60
634	7	34	10.90
635	7	35	11.20
636	7	36	11.50
637	7	37	11.80
638	7	38	12.10
639	7	39	12.40
640	7	40	12.70
641	7	41	13.00
642	7	42	13.30
643	7	43	13.60
644	7	44	13.90
645	7	45	14.20
646	7	46	14.50
647	7	47	14.80
648	7	48	15.10
649	7	49	15.40
650	7	50	15.70
651	7	51	16.00
652	7	52	16.30
653	7	53	16.60
654	7	54	16.90
655	7	55	17.20
656	7	56	17.50
657	7	57	17.80
658	7	58	18.10
659	7	59	18.40
660	7	60	18.70
661	7	61	19.00
662	7	62	19.30
663	7	63	19.60
664	7	64	19.90
665	7	65	20.20
666	7	66	20.50
667	7	67	20.80
668	7	68	21.10
669	7	69	21.40
670	7	70	21.70
671	7	71	22.00
672	7	72	22.30
673	7	73	22.60
674	7	74	22.90
675	7	75	23.20
676	7	76	23.50
677	7	77	23.80
678	7	78	24.10
679	7	79	24.40
680	7	80	24.70
681	7	81	25.00
682	7	82	25.30
683	7	83	25.60
684	7	84	25.90
685	7	85	26.20
686	7	86	26.50
687	7	87	26.80
688	7	88	27.10
689	7	89	27.40
690	7	90	27.70
691	7	91	28.00
692	7	92	28.30
693	7	93	28.60
694	7	94	28.90
695	7	95	29.20
696	7	96	29.50
697	7	97	29.80
698	7	98	30.10
699	7	99	30.40
700	7	0	0.70
701	8	1	1.10
702	8	2	1.40
703	8	3	1.70
704	8	4	2.00
705	8	5	2.30
706	8	6	2.60
707	8	7	2.90
708	8	8	3.20
709	8	9	3.50
710	8	10	3.80
711	8	11	4.10
712	8	12	4.40
713	8	13	4.70
714	8	14	5.00
715	8	15	5.30
716	8	16	5.60
717	8	17	5.90
718	8	18	6.20
719	8	19	6.50
720	8	20	6.80
721	8	21	7.10
722	8	22	7.40
723	8	23	7.70
724	8	24	8.00
725	8	25	8.30
726	8	26	8.60
727	8	27	8.90
728	8	28	9.20
729	8	29	9.50
730	8	30	9.80
731	8	31	10.10
732	8	32	10.40
733	8	33	10.70
734	8	34	11.00
735	8	35	11.30
736	8	36	11.60
737	8	37	11.90
738	8	38	12.20
739	8	39	12.50
740	8	40	12.80
741	8	41	13.10
742	8	42	13.40
743	8	43	13.70
744	8	44	14.00
745	8	45	14.30
746	8	46	14.60
747	8	47	14.90
748	8	48	15.20
749	8	49	15.50
750	8	50	15.80
751	8	51	16.10
752	8	52	16.40
753	8	53	16.70
754	8	54	17.00
755	8	55	17.30
756	8	56	17.60
757	8	57	17.90
758	8	58	18.20
759	8	59	18.50
760	8	60	18.80
761	8	61	19.10
762	8	62	19.40
763	8	63	19.70
764	8	64	20.00
765	8	65	20.30
766	8	66	20.60
767	8	67	20.90
768	8	68	21.20
769	8	69	21.50
770	8	70	21.80
771	8	71	22.10
772	8	72	22.40
773	8	73	22.70
774	8	74	23.00
775	8	75	23.30
776	8	76	23.60
777	8	77	23.90
778	8	78	24.20
779	8	79	24.50
780	8	80	24.80
781	8	81	25.10
782	8	82	25.40
783	8	83	25.70
784	8	84	26.00
785	8	85	26.30
786	8	86	26.60
787	8	87	26.90
788	8	88	27.20
789	8	89	27.50
790	8	90	27.80
791	8	91	28.10
792	8	92	28.40
793	8	93	28.70
794	8	94	29.00
795	8	95	29.30
796	8	96	29.60
797	8	97	29.90
798	8	98	30.20
799	8	99	30.50
800	8	0	0.80
801	9	1	1.20
802	9	2	1.50
803	9	3	1.80
804	9	4	2.10
805	9	5	2.40
806	9	6	2.70
807	9	7	3.00
808	9	8	3.30
809	9	9	3.60
810	9	10	3.90
811	9	11	4.20
812	9	12	4.50
813	9	13	4.80
814	9	14	5.10
815	9	15	5.40
816	9	16	5.70
817	9	17	6.00
818	9	18	6.30
819	9	19	6.60
820	9	20	6.90
821	9	21	7.20
822	9	22	7.50
823	9	23	7.80
824	9	24	8.10
825	9	25	8.40
826	9	26	8.70
827	9	27	9.00
828	9	28	9.30
829	9	29	9.60
830	9	30	9.90
831	9	31	10.20
832	9	32	10.50
833	9	33	10.80
834	9	34	11.10
835	9	35	11.40
836	9	36	11.70
837	9	37	12.00
838	9	38	12.30
839	9	39	12.60
840	9	40	12.90
841	9	41	13.20
842	9	42	13.50
843	9	43	13.80
844	9	44	14.10
845	9	45	14.40
846	9	46	14.70
847	9	47	15.00
848	9	48	15.30
849	9	49	15.60
850	9	50	15.90
851	9	51	16.20
852	9	52	16.50
853	9	53	16.80
854	9	54	17.10
855	9	55	17.40
856	9	56	17.70
857	9	57	18.00
858	9	58	18.30
859	9	59	18.60
860	9	60	18.90
861	9	61	19.20
862	9	62	19.50
863	9	63	19.80
864	9	64	20.10
865	9	65	20.40
866	9	66	20.70
867	9	67	21.00
868	9	68	21.30
869	9	69	21.60
870	9	70	21.90
871	9	71	22.20
872	9	72	22.50
873	9	73	22.80
874	9	74	23.10
875	9	75	23.40
876	9	76	23.70
877	9	77	24.00
878	9	78	24.30
879	9	79	24.60
880	9	80	24.90
881	9	81	25.20
882	9	82	25.50
883	9	83	25.80
884	9	84	26.10
885	9	85	26.40
886	9	86	26.70
887	9	87	27.00
888	9	88	27.30
889	9	89	27.60
890	9	90	27.90
891	9	91	28.20
892	9	92	28.50
893	9	93	28.80
894	9	94	29.10
895	9	95	29.40
896	9	96	29.70
897	9	97	30.00
898	9	98	30.30
899	9	99	30.60
900	9	0	0.90
901	10	1	1.30
902	10	2	1.60
903	10	3	1.90
904	10	4	2.20
905	10	5	2.50
906	10	6	2.80
907	10	7	3.10
908	10	8	3.40
909	10	9	3.70
910	10	10	4.00
911	10	11	4.30
912	10	12	4.60
913	10	13	4.90
914	10	14	5.20
915	10	15	5.50
916	10	16	5.80
917	10	17	6.10
918	10	18	6.40
919	10	19	6.70
920	10	20	7.00
921	10	21	7.30
922	10	22	7.60
923	10	23	7.90
924	10	24	8.20
925	10	25	8.50
926	10	26	8.80
927	10	27	9.10
928	10	28	9.40
929	10	29	9.70
930	10	30	10.00
931	10	31	10.30
932	10	32	10.60
933	10	33	10.90
934	10	34	11.20
935	10	35	11.50
936	10	36	11.80
937	10	37	12.10
938	10	38	12.40
939	10	39	12.70
940	10	40	13.00
941	10	41	13.30
942	10	42	13.60
943	10	43	13.90
944	10	44	14.20
945	10	45	14.50
946	10	46	14.80
947	10	47	15.10
948	10	48	15.40
949	10	49	15.70
950	10	50	16.00
951	10	51	16.30
952	10	52	16.60
953	10	53	16.90
954	10	54	17.20
955	10	55	17.50
956	10	56	17.80
957	10	57	18.10
958	10	58	18.40
959	10	59	18.70
960	10	60	19.00
961	10	61	19.30
962	10	62	19.60
963	10	63	19.90
964	10	64	20.20
965	10	65	20.50
966	10	66	20.80
967	10	67	21.10
968	10	68	21.40
969	10	69	21.70
970	10	70	22.00
971	10	71	22.30
972	10	72	22.60
973	10	73	22.90
974	10	74	23.20
975	10	75	23.50
976	10	76	23.80
977	10	77	24.10
978	10	78	24.40
979	10	79	24.70
980	10	80	25.00
981	10	81	25.30
982	10	82	25.60
983	10	83	25.90
984	10	84	26.20
985	10	85	26.50
986	10	86	26.80
987	10	87	27.10
988	10	88	27.40
989	10	89	27.70
990	10	90	28.00
991	10	91	28.30
992	10	92	28.60
993	10	93	28.90
994	10	94	29.20
995	10	95	29.50
996	10	96	29.80
997	10	97	30.10
998	10	98	30.40
999	10	99	30.70
1000	10	0	1.00
1001	11	1	1.40
1002	11	2	1.70
1003	11	3	2.00
1004	11	4	2.30
1005	11	5	2.60
1006	11	6	2.90
1007	11	7	3.20
1008	11	8	3.50
1009	11	9	3.80
1010	11	10	4.10
1011	11	11	4.40
1012	11	12	4.70
1013	11	13	5.00
1014	11	14	5.30
1015	11	15	5.60
1016	11	16	5.90
1017	11	17	6.20
1018	11	18	6.50
1019	11	19	6.80
1020	11	20	7.10
1021	11	21	7.40
1022	11	22	7.70
1023	11	23	8.00
1024	11	24	8.30
1025	11	25	8.60
1026	11	26	8.90
1027	11	27	9.20
1028	11	28	9.50
1029	11	29	9.80
1030	11	30	10.10
1031	11	31	10.40
1032	11	32	10.70
1033	11	33	11.00
1034	11	34	11.30
1035	11	35	11.60
1036	11	36	11.90
1037	11	37	12.20
1038	11	38	12.50
1039	11	39	12.80
1040	11	40	13.10
1041	11	41	13.40
1042	11	42	13.70
1043	11	43	14.00
1044	11	44	14.30
1045	11	45	14.60
1046	11	46	14.90
1047	11	47	15.20
1048	11	48	15.50
1049	11	49	15.80
1050	11	50	16.10
1051	11	51	16.40
1052	11	52	16.70
1053	11	53	17.00
1054	11	54	17.30
1055	11	55	17.60
1056	11	56	17.90
1057	11	57	18.20
1058	11	58	18.50
1059	11	59	18.80
1060	11	60	19.10
1061	11	61	19.40
1062	11	62	19.70
1063	11	63	20.00
1064	11	64	20.30
1065	11	65	20.60
1066	11	66	20.90
1067	11	67	21.20
1068	11	68	21.50
1069	11	69	21.80
1070	11	70	22.10
1071	11	71	22.40
1072	11	72	22.70
1073	11	73	23.00
1074	11	74	23.30
1075	11	75	23.60
1076	11	76	23.90
1077	11	77	24.20
1078	11	78	24.50
1079	11	79	24.80
1080	11	80	25.10
1081	11	81	25.40
1082	11	82	25.70
1083	11	83	26.00
1084	11	84	26.30
1085	11	85	26.60
1086	11	86	26.90
1087	11	87	27.20
1088	11	88	27.50
1089	11	89	27.80
1090	11	90	28.10
1091	11	91	28.40
1092	11	92	28.70
1093	11	93	29.00
1094	11	94	29.30
1095	11	95	29.60
1096	11	96	29.90
1097	11	97	30.20
1098	11	98	30.50
1099	11	99	30.80
1100	11	0	1.10
1101	12	1	1.50
1102	12	2	1.80
1103	12	3	2.10
1104	12	4	2.40
1105	12	5	2.70
1106	12	6	3.00
1107	12	7	3.30
1108	12	8	3.60
1109	12	9	3.90
1110	12	10	4.20
1111	12	11	4.50
1112	12	12	4.80
1113	12	13	5.10
1114	12	14	5.40
1115	12	15	5.70
1116	12	16	6.00
1117	12	17	6.30
1118	12	18	6.60
1119	12	19	6.90
1120	12	20	7.20
1121	12	21	7.50
1122	12	22	7.80
1123	12	23	8.10
1124	12	24	8.40
1125	12	25	8.70
1126	12	26	9.00
1127	12	27	9.30
1128	12	28	9.60
1129	12	29	9.90
1130	12	30	10.20
1131	12	31	10.50
1132	12	32	10.80
1133	12	33	11.10
1134	12	34	11.40
1135	12	35	11.70
1136	12	36	12.00
1137	12	37	12.30
1138	12	38	12.60
1139	12	39	12.90
1140	12	40	13.20
1141	12	41	13.50
1142	12	42	13.80
1143	12	43	14.10
1144	12	44	14.40
1145	12	45	14.70
1146	12	46	15.00
1147	12	47	15.30
1148	12	48	15.60
1149	12	49	15.90
1150	12	50	16.20
1151	12	51	16.50
1152	12	52	16.80
1153	12	53	17.10
1154	12	54	17.40
1155	12	55	17.70
1156	12	56	18.00
1157	12	57	18.30
1158	12	58	18.60
1159	12	59	18.90
1160	12	60	19.20
1161	12	61	19.50
1162	12	62	19.80
1163	12	63	20.10
1164	12	64	20.40
1165	12	65	20.70
1166	12	66	21.00
1167	12	67	21.30
1168	12	68	21.60
1169	12	69	21.90
1170	12	70	22.20
1171	12	71	22.50
1172	12	72	22.80
1173	12	73	23.10
1174	12	74	23.40
1175	12	75	23.70
1176	12	76	24.00
1177	12	77	24.30
1178	12	78	24.60
1179	12	79	24.90
1180	12	80	25.20
1181	12	81	25.50
1182	12	82	25.80
1183	12	83	26.10
1184	12	84	26.40
1185	12	85	26.70
1186	12	86	27.00
1187	12	87	27.30
1188	12	88	27.60
1189	12	89	27.90
1190	12	90	28.20
1191	12	91	28.50
1192	12	92	28.80
1193	12	93	29.10
1194	12	94	29.40
1195	12	95	29.70
1196	12	96	30.00
1197	12	97	30.30
1198	12	98	30.60
1199	12	99	30.90
1200	12	0	1.20
1201	13	1	1.60
1202	13	2	1.90
1203	13	3	2.20
1204	13	4	2.50
1205	13	5	2.80
1206	13	6	3.10
1207	13	7	3.40
1208	13	8	3.70
1209	13	9	4.00
1210	13	10	4.30
1211	13	11	4.60
1212	13	12	4.90
1213	13	13	5.20
1214	13	14	5.50
1215	13	15	5.80
1216	13	16	6.10
1217	13	17	6.40
1218	13	18	6.70
1219	13	19	7.00
1220	13	20	7.30
1221	13	21	7.60
1222	13	22	7.90
1223	13	23	8.20
1224	13	24	8.50
1225	13	25	8.80
1226	13	26	9.10
1227	13	27	9.40
1228	13	28	9.70
1229	13	29	10.00
1230	13	30	10.30
1231	13	31	10.60
1232	13	32	10.90
1233	13	33	11.20
1234	13	34	11.50
1235	13	35	11.80
1236	13	36	12.10
1237	13	37	12.40
1238	13	38	12.70
1239	13	39	13.00
1240	13	40	13.30
1241	13	41	13.60
1242	13	42	13.90
1243	13	43	14.20
1244	13	44	14.50
1245	13	45	14.80
1246	13	46	15.10
1247	13	47	15.40
1248	13	48	15.70
1249	13	49	16.00
1250	13	50	16.30
1251	13	51	16.60
1252	13	52	16.90
1253	13	53	17.20
1254	13	54	17.50
1255	13	55	17.80
1256	13	56	18.10
1257	13	57	18.40
1258	13	58	18.70
1259	13	59	19.00
1260	13	60	19.30
1261	13	61	19.60
1262	13	62	19.90
1263	13	63	20.20
1264	13	64	20.50
1265	13	65	20.80
1266	13	66	21.10
1267	13	67	21.40
1268	13	68	21.70
1269	13	69	22.00
1270	13	70	22.30
1271	13	71	22.60
1272	13	72	22.90
1273	13	73	23.20
1274	13	74	23.50
1275	13	75	23.80
1276	13	76	24.10
1277	13	77	24.40
1278	13	78	24.70
1279	13	79	25.00
1280	13	80	25.30
1281	13	81	25.60
1282	13	82	25.90
1283	13	83	26.20
1284	13	84	26.50
1285	13	85	26.80
1286	13	86	27.10
1287	13	87	27.40
1288	13	88	27.70
1289	13	89	28.00
1290	13	90	28.30
1291	13	91	28.60
1292	13	92	28.90
1293	13	93	29.20
1294	13	94	29.50
1295	13	95	29.80
1296	13	96	30.10
1297	13	97	30.40
1298	13	98	30.70
1299	13	99	31.00
1300	13	0	1.30
1301	14	1	1.70
1302	14	2	2.00
1303	14	3	2.30
1304	14	4	2.60
1305	14	5	2.90
1306	14	6	3.20
1307	14	7	3.50
1308	14	8	3.80
1309	14	9	4.10
1310	14	10	4.40
1311	14	11	4.70
1312	14	12	5.00
1313	14	13	5.30
1314	14	14	5.60
1315	14	15	5.90
1316	14	16	6.20
1317	14	17	6.50
1318	14	18	6.80
1319	14	19	7.10
1320	14	20	7.40
1321	14	21	7.70
1322	14	22	8.00
1323	14	23	8.30
1324	14	24	8.60
1325	14	25	8.90
1326	14	26	9.20
1327	14	27	9.50
1328	14	28	9.80
1329	14	29	10.10
1330	14	30	10.40
1331	14	31	10.70
1332	14	32	11.00
1333	14	33	11.30
1334	14	34	11.60
1335	14	35	11.90
1336	14	36	12.20
1337	14	37	12.50
1338	14	38	12.80
1339	14	39	13.10
1340	14	40	13.40
1341	14	41	13.70
1342	14	42	14.00
1343	14	43	14.30
1344	14	44	14.60
1345	14	45	14.90
1346	14	46	15.20
1347	14	47	15.50
1348	14	48	15.80
1349	14	49	16.10
1350	14	50	16.40
1351	14	51	16.70
1352	14	52	17.00
1353	14	53	17.30
1354	14	54	17.60
1355	14	55	17.90
1356	14	56	18.20
1357	14	57	18.50
1358	14	58	18.80
1359	14	59	19.10
1360	14	60	19.40
1361	14	61	19.70
